holdingId,stockId,investment,accountid
1,62,100,933
2,82,700,848
3,30,7000,202
4,72,6000,221
5,50,2000,104
6,38,900,893
7,31,7300,422
8,4,9700,521
9,51,1900,975
10,73,3800,904
11,7,3900,736
12,91,9300,752
13,32,7600,968
14,31,8500,859
15,77,5100,753
16,97,4000,39
17,78,9400,370
18,6,7400,601
19,33,7900,191
20,31,1600,40
21,87,6500,580
22,32,6000,622
23,33,4200,675
24,2,2300,776
25,33,3100,779
26,54,1200,87
27,87,700,370
28,17,8700,165
29,27,6200,152
30,31,4100,785
31,21,7600,163
32,51,8100,287
33,14,8800,769
34,44,8600,326
35,65,2900,668
36,56,8900,971
37,66,6100,354
38,93,6300,60
39,96,9700,895
40,85,6600,353
41,91,4300,34
42,26,6000,587
43,7,6600,930
44,84,5500,937
45,2,2800,906
46,32,2200,792
47,35,3000,364
48,35,2600,87
49,86,5200,277
50,1,8000,202
51,71,8600,711
52,61,1800,664
53,26,4200,623
54,24,8600,475
55,53,3300,797
56,17,1100,292
57,73,8700,145
58,48,7400,819
59,59,4200,486
60,32,6900,817
61,29,4300,148
62,74,1700,815
63,35,5800,92
64,17,7900,787
65,95,4400,520
66,77,6000,320
67,40,4000,402
68,19,6500,277
69,5,6700,67
70,67,3800,842
71,49,2800,277
72,19,500,853
73,29,7300,755
74,97,3800,943
75,59,8400,127
76,67,2100,411
77,77,7700,542
78,4,7800,489
79,96,100,821
80,78,4700,267
81,93,4300,691
82,84,500,569
83,84,4400,768
84,22,1900,181
85,32,6600,644
86,61,9800,608
87,35,3000,369
88,79,3100,163
89,72,300,738
90,64,3000,404
91,19,1500,359
92,57,8800,718
93,37,2800,477
94,82,8200,462
95,86,5600,455
96,58,3000,741
97,39,7300,895
98,11,1700,467
99,86,6000,979
100,68,1600,281
101,100,5800,469
102,92,1600,891
103,46,9800,248
104,44,3500,855
105,25,2700,501
106,80,1100,677
107,20,9100,390
108,38,1400,116
109,76,2500,955
110,89,3900,754
111,99,8200,889
112,70,1700,416
113,57,2300,282
114,67,9700,746
115,54,2500,175
116,47,7100,277
117,89,3900,936
118,6,4200,116
119,11,1300,397
120,96,2100,580
121,67,9900,850
122,23,1200,430
123,33,500,971
124,70,7100,310
125,2,4700,589
126,17,200,443
127,16,100,871
128,81,400,26
129,20,4600,854
130,78,1800,847
131,75,2300,843
